SiteID,StudyID,Adjusted ESP with Coil (IWC),Furnace Fan Est. Airflow (CFM),Adjusted ESP with Coil (IWC) - All values,Furnace Fan Est. Airflow (CFM) All Values,Calculated alpha,Report ,Household Type,ESP Includes COIL,ESP Includes FILTER,Test Mode,Static Pressure (pascal),Static Pressure (in w. c.),Area (Sqft),Heated Floor Area (sqft),Heating Equipment Type,Cooling Equipment Type,State/Location,Comment,Air Handler Flow (CFM),Air Handler Flow (in w.c.),Pre-Retrofit (in w.c.),Post-Retrofit (in w.c.),Equipment Airflow Check (CFM),Capacity (Btu/hr),Total CFM,Filter pressure drop (Pa),Filter pressure drop (in w.c.),AC coil pressure drop (in w.c.),Supply plenum pressure wrt basement,ESP Post Coil (Pa),ESP Post Coil (in w.c.),a = P/Q2,AC tonnage,Furnace Location,"Location 1=attic, 2=basement, 3=closet, 4=outside, 5=garage",HOUSE_AGE,Construction,DUCTWORK_NEW,FURNACE_INSTALLED_WAC,FIRSTTIME_AC,DUCT_NUM_ZONES,DUCT_PERC_RIGIDMETAL,CITY,STATE,ZIP,Air Handler Watts,Motor Type,Furnace Input Capacity - High Fire (Btu/hr),Furnace Output Capacity - High Fire (Btu/hr),Furnace Input Capacity - Low Fire (Btu/hr),Furnace Output Capacity - Low Fire (Btu/hr),Blower Hp,Heating Setpoint (deg F),Cooling Setpoint (deg F),Sup. press. filter in place (Pa),Sup. press. TF in place (Pa),Filter pressure drop - fan only (Pa),Filter pressure drop - fan-only (in w.c.),ESP Post Coil - fan only(Pa),ESP Post Coil - fan-only (in w.c.),Supp. Press. Filter and TF ,TF CFM
16,22,0.76,993,0.76,993,7.71E-07,Pigg 2003,Single Family,NO,YES,AC,138.9,0.56,4628,,,,Outagamie,,,,,,,,993,,0.43,0.06,,,,5.65895E-07,2.5,,,,,,,,,,,,,508,PSC,75,70,51,47,0.5,,,,,,,,,,
17,22,0.62,937,0.62,937,7.03E-07,Pigg 2003,Single Family,NO,YES,HT,103.3,0.42,4492,,,,Washington,zone 1,,,,,,,937,,0.20,0.05,,,,4.72682E-07,2.5,,,,,,,,,,,,,,ECM,60,57,,,0.5,,,,,,,,,,
17,22,0.71,937,0.71,937,8.12E-07,Pigg 2003,Single Family,NO,YES,HT,127.2,0.51,4492,,,,Washington,zone 2,,,,,,,937,,0.21,0.09,,,,5.82025E-07,2.5,,,,,,,,,,,,,,ECM,60,57,,,0.5,,,,,,,,,,
17,22,0.96,941,0.96,941,1.08E-06,Pigg 2003,Single Family,NO,NO,HT,134.6,0.54,4492,,,,Washington,zone 3,,,,,,,941,,0.28,0.05,,,,6.10967E-07,2.5,,,,,,,,,,,,,,ECM,60,57,,,0.5,,,,,,,,,,
17,22,0.56,771,0.56,771,9.42E-07,Pigg 2003,Single Family,NO,YES,HT,89.1,0.36,4492,,,,Washington,zone 1+2,,,,,,,771,,0.21,0.19,,,,6.02246E-07,2.5,,,,,,,,,,,,,,ECM,60,57,,,0.5,,,,,,,,,,
17,22,0.91,1133,0.91,1133,7.12E-07,Pigg 2003,Single Family,NO,NO,CF,123.7,0.50,4492,,,,Washington,,,,,,,,1133,,0.21,0.22,,,,3.87165E-07,2.5,,,,,,,,,,,,,,ECM,60,57,,,0.5,,,,,,,,,,
18,22,0.18,436,0.18,436,9.27E-07,Pigg 2003,Single Family,NO,YES,CF,,-0.03,3897,,,,Manitowoc,,,,,,,,436,,0.06,0.04,,,,-1.36773E-07,2,,,,,,,,,,,,,49,ECM,100,94,70,68,1,,,,,,,,,,
18,22,0.00,537,0.00,537,-1.04E-08,Pigg 2003,Single Family,YES,YES,CF,,0.00,3897,,,,Manitowoc,,,,,,,,537,,0.11,0.08,,,,-1.04033E-08,2,,,,,,,,,,,,,82,ECM,100,94,70,68,1,,,,,,,,,,
18,22,0.23,646,0.23,646,5.40E-07,Pigg 2003,Single Family,NO,YES,CF,5.7,0.02,3897,,,,Manitowoc,,,,,,,,646,,0.08,0.05,,,,5.51141E-08,2,,,,,,,,,,,,,139,ECM,100,94,70,68,1,,,,,,,,,,
18,22,0.41,658,0.41,658,9.44E-07,Pigg 2003,Single Family,NO,NO,HT,,-0.01,3897,,,,Manitowoc,,,,,,,,658,,0.13,0.09,,,,-1.84773E-08,2,,,,,,,,,,,,,145,ECM,100,94,70,68,1,,,,,,,,,,
18,22,0.44,697,0.44,697,8.97E-07,Pigg 2003,Single Family,NO,NO,AC,4.7,0.02,3897,,,,Manitowoc,,,,,,,,697,,0.11,0.08,,,,3.911E-08,2,,,,,,,,,,,,,166,ECM,100,94,70,68,1,,,,,,,,,,
18,22,0.47,769,0.47,769,7.89E-07,Pigg 2003,Single Family,NO,NO,CF,12.4,0.05,3897,,,,Manitowoc,,,,,,,,769,,0.20,0.16,,,,8.45507E-08,2,,,,,,,,,,,,,213,ECM,100,94,70,68,1,,,,,,,,,,
18,22,0.24,933,0.24,933,2.72E-07,Pigg 2003,Single Family,NO,YES,HT(high),8.7,0.04,3897,,,,Manitowoc,,,,,,,,933,,0.14,0.10,,,,4.02073E-08,2,,,,,,,,,,,,,403,ECM,100,94,70,68,1,,,,,,,,,,
18,22,0.55,1077,0.55,1077,4.77E-07,Pigg 2003,Single Family,NO,NO,AC,34.1,0.14,3897,,,,Manitowoc,,,,,,,,1077,,0.26,0.19,,,,1.18111E-07,2,,,,,,,,,,,,,560,ECM,100,94,70,68,1,,,,,,,,,,
19,22,0.80,1244,0.80,1244,5.18E-07,Pigg 2003,Single Family,NO,YES,CF,149.3,0.60,4210,,,,Dane,,,,,,,,1244,,0.33,0.14,,,,3.87713E-07,3.5,,,,,,,,,,,,,488,PSC,100,93,,,0.5,,,,,,,,,,
19,22,0.84,1306,0.84,1306,4.94E-07,Pigg 2003,Single Family,NO,YES,CF,159.3,0.64,4210,,,,Dane,,,,,,,,1306,,0.35,0.15,,,,3.75227E-07,3.5,,,,,,,,,,,,,520,PSC,100,93,,,0.5,,,,,,,,,,
19,22,0.66,1362,0.66,1362,3.56E-07,Pigg 2003,Single Family,YES,YES,HT,164.5,0.66,4210,,,,Dane,,,,,,,,1362,,0.36,0.16,,,,3.56326E-07,3.5,,,,,,,,,,,,,569,PSC,100,93,,,0.5,,,,,,,,,,
19,22,0.87,1337,0.87,1337,4.88E-07,Pigg 2003,Single Family,NO,YES,CF,166.7,0.67,4210,,,,Dane,,,,,,,,1337,,0.36,0.16,,,,3.74811E-07,3.5,,,,,,,,,,,,,572,PSC,100,93,,,0.5,,,,,,,,,,
19,22,0.89,1345,0.89,1345,4.94E-07,Pigg 2003,Single Family,NO,YES,AC,172.0,0.69,4210,,,,Dane,,,,,,,,1345,,0.37,0.16,,,,3.81974E-07,3.5,,,,,,,,,,,,,661,PSC,100,93,,,0.5,,,,,,,,,,
19,22,0.89,1342,0.89,1342,4.94E-07,Pigg 2003,Single Family,NO,YES,CF,171.2,0.69,4210,,,,Dane,,,,,,,,1342,,0.37,0.16,,,,3.82018E-07,3.5,,,,,,,,,,,,,670,PSC,100,93,,,0.5,,,,,,,,,,
20,22,0.47,785,0.47,785,7.56E-07,Pigg 2003,Single Family,NO,NO,CF,12.2,0.05,3487,,,,Brown,,,,,,,,785,,0.15,0.12,,,,7.95164E-08,1.5,,,,,,,,,,,,,385,PSC,60,56,,,0.33,,,,,,,,,,
20,22,0.27,815,0.27,815,4.07E-07,Pigg 2003,Single Family,NO,YES,HT,16.9,0.07,3487,,,,Brown,,,,,,,,815,,0.14,0.11,,,,1.02375E-07,1.5,,,,,,,,,,,,,398,PSC,60,56,,,0.33,,,,,,,,,,
20,22,0.48,845,0.48,845,6.71E-07,Pigg 2003,Single Family,NO,NO,CF,15.4,0.06,3487,,,,Brown,,,,,,,,845,,0.18,0.15,,,,8.68317E-08,1.5,,,,,,,,,,,,,409,PSC,60,56,,,0.33,,,,,,,,,,
20,22,0.24,853,0.24,853,3.32E-07,Pigg 2003,Single Family,NO,YES,CF,9.7,0.04,3487,,,,Brown,,,,,,,,853,,0.15,0.12,,,,5.36002E-08,1.5,,,,,,,,,,,,,412,PSC,60,56,,,0.33,,,,,,,,,,
20,22,0.51,902,0.51,902,6.24E-07,Pigg 2003,Single Family,NO,NO,CF,22.6,0.09,3487,,,,Brown,,,,,,,,902,,0.18,0.14,,,,1.11848E-07,1.5,,,,,,,,,,,,,440,PSC,60,56,,,0.33,,,,,,,,,,
20,22,0.47,948,0.47,948,5.19E-07,Pigg 2003,Single Family,NO,NO,CF,12.4,0.05,3487,,,,Brown,,,,,,,,948,,0.14,0.12,,,,5.56357E-08,1.5,,,,,,,,,,,,,496,PSC,60,56,,,0.33,,,,,,,,,,
20,22,0.27,949,0.27,949,2.96E-07,Pigg 2003,Single Family,NO,YES,AC,15.9,0.06,3487,,,,Brown,,,,,,,,949,,0.16,0.14,,,,7.10637E-08,1.5,,,,,,,,,,,,,501,PSC,60,56,,,0.33,,,,,,,,,,
21,22,0.56,491,0.56,491,2.31E-06,Pigg 2003,Single Family,NO,NO,CF,34.6,0.14,3876,,,,Brown,,,,,,,,491,,0.06,0.04,,,,5.7657E-07,2.5,,,,,,,,,,,,,74,ECM,80,75,52,49,0.5,,,,,,,,,,
21,22,0.36,540,0.36,540,1.22E-06,Pigg 2003,Single Family,NO,YES,CF,38.1,0.15,3876,,,,Brown,,,,,,,,540,,0.06,0.04,,,,5.24691E-07,2.5,,,,,,,,,,,,,86,ECM,80,75,52,49,0.5,,,,,,,,,,
21,22,0.59,581,0.59,581,1.76E-06,Pigg 2003,Single Family,NO,NO,HT,43.8,0.18,3876,,,,Brown,,,,,,,,581,,0.07,0.04,,,,5.21387E-07,2.5,,,,,,,,,,,,,115,ECM,80,75,52,49,0.5,,,,,,,,,,
21,22,0.71,1057,0.71,1057,6.32E-07,Pigg 2003,Single Family,NO,YES,CF,125.4,0.50,3876,,,,Brown,,,,,,,,1057,,0.17,0.12,,,,4.51108E-07,2.5,,,,,,,,,,,,,547,ECM,80,75,52,49,0.5,,,,,,,,,,
21,22,0.71,1052,0.71,1052,6.37E-07,Pigg 2003,Single Family,NO,YES,CF,125.2,0.50,3876,,,,Brown,,,,,,,,1052,,0.17,0.12,,,,4.54503E-07,2.5,,,,,,,,,,,,,562,ECM,80,75,52,49,0.5,,,,,,,,,,
21,22,0.70,1075,0.70,1075,6.03E-07,Pigg 2003,Single Family,NO,YES,AC,123.2,0.50,3876,,,,Brown,,,,,,,,1075,,0.18,0.12,,,,4.2834E-07,2.5,,,,,,,,,,,,,570,ECM,80,75,52,49,0.5,,,,,,,,,,
21,22,0.91,987,0.91,987,9.31E-07,Pigg 2003,Single Family,NO,NO,HT(high),121.9,0.49,3876,,,,Brown,,,,,,,,987,,0.18,0.12,,,,5.02993E-07,2.5,,,,,,,,,,,,,581,ECM,80,75,52,49,0.5,,,,,,,,,,
22,22,0.57,854,0.57,854,7.78E-07,Pigg 2003,Single Family,NO,YES,HT,90.8,0.37,3640,,,,Outagamie,,,,,,,,854,,0.13,0.10,,,,5.00469E-07,2,,,,,,,,,,,,,404,PSC,60,56,,,0.33,,,,,,,,,,
22,22,0.43,943,0.43,943,4.84E-07,Pigg 2003,Single Family,YES,YES,HT,107.0,0.43,3640,,,,Outagamie,,,,,,,,943,,0.15,0.13,,,,4.83554E-07,2,,,,,,,,,,,,,438,PSC,60,56,,,0.33,,,,,,,,,,
22,22,0.66,981,0.66,981,6.84E-07,Pigg 2003,Single Family,NO,YES,CF,113.5,0.46,3640,,,,Outagamie,,,,,,,,981,,0.16,0.13,,,,4.73835E-07,2,,,,,,,,,,,,,475,PSC,60,56,,,0.33,,,,,,,,,,
22,22,0.70,1011,0.70,1011,6.80E-07,Pigg 2003,Single Family,NO,YES,CF,122.7,0.49,3640,,,,Outagamie,,,,,,,,1011,,0.17,0.14,,,,4.8233E-07,2,,,,,,,,,,,,,479,PSC,60,56,,,0.33,,,,,,,,,,
22,22,0.73,1053,0.73,1053,6.61E-07,Pigg 2003,Single Family,NO,YES,AC,132.1,0.53,3640,,,,Outagamie,,,,,,,,1053,,0.18,0.15,,,,4.78892E-07,2,,,,,,,,,,,,,539,PSC,60,56,,,0.33,,,,,,,,,,
22,22,0.75,1089,0.75,1089,6.29E-07,Pigg 2003,Single Family,NO,YES,CF,135.4,0.54,3640,,,,Outagamie,,,,,,,,1089,,0.18,0.15,,,,4.58715E-07,2,,,,,,,,,,,,,545,PSC,60,56,,,0.33,,,,,,,,,,
23,22,0.54,645,0.54,645,1.29E-06,Pigg 2003,Single Family,NO,YES,HT,83.4,0.34,3295,,,,Kenosha,,,,,,,,645,,0.12,0.08,,,,8.0524E-07,2,,,,,,,,,,,,,346,PSC,60,55,,,0.33,,,,,,,,,,
23,22,0.86,742,0.86,742,1.57E-06,Pigg 2003,Single Family,NO,NO,HT,111.0,0.45,3295,,,,Kenosha,,,,,,,,742,,0.15,0.11,,,,8.10078E-07,2,,,,,,,,,,,,,407,PSC,60,55,,,0.33,,,,,,,,,,
23,22,0.72,810,0.72,810,1.09E-06,Pigg 2003,Single Family,NO,YES,HT,127.9,0.51,3295,,,,Kenosha,,,,,,,,810,,0.18,0.13,,,,7.83417E-07,2,,,,,,,,,,,,,523,PSC,60,55,,,0.33,,,,,,,,,,
23,22,0.72,822,0.72,822,1.06E-06,Pigg 2003,Single Family,NO,YES,AC,128.2,0.52,3295,,,,Kenosha,,,,,,,,822,,0.18,0.12,,,,7.62191E-07,2,,,,,,,,,,,,,529,PSC,60,55,,,0.33,,,,,,,,,,
24,22,0.55,978,0.55,978,5.78E-07,Pigg 2003,Single Family,NO,YES,CF,87.3,0.35,3154,,,,Dane,,,,,,,,978,,0.14,0.10,,,,3.66969E-07,3,,,,,,,,,,,,,452,PSC,75,68,,,0.5,,,,,,,,,,
24,22,0.62,1075,0.62,1075,5.32E-07,Pigg 2003,Single Family,NO,YES,HT,102.8,0.41,3154,,,,Dane,,,,,,,,1075,,0.17,0.13,,,,3.57382E-07,3,,,,,,,,,,,,,504,PSC,75,68,,,0.5,,,,,,,,,,
24,22,0.64,1095,0.64,1095,5.31E-07,Pigg 2003,Single Family,NO,YES,CF,108.2,0.44,3154,,,,Dane,,,,,,,,1095,,0.17,0.13,,,,3.62795E-07,3,,,,,,,,,,,,,521,PSC,75,68,,,0.5,,,,,,,,,,
24,22,0.89,1159,0.89,1159,6.62E-07,Pigg 2003,Single Family,NO,NO,CF,117.5,0.47,3154,,,,Dane,,,,,,,,1159,,0.19,0.14,,,,3.51378E-07,3,,,,,,,,,,,,,658,PSC,75,68,,,0.5,,,,,,,,,,
26,22,0.80,770,0.80,770,1.35E-06,Pigg 2003,Single Family,NO,YES,AC,149.3,0.60,2240,,,,Marathon,,,,,,,,770,,0.43,0.05,,,,1.01198E-06,1.5,,,,,,,,,,,,,321,PSC,60,56,,,0.33,,,,,,,,,,
26,22,0.81,758,0.81,758,1.40E-06,Pigg 2003,Single Family,NO,YES,CF,150.3,0.60,2240,,,,Marathon,,,,,,,,758,,0.43,0.05,,,,1.05123E-06,1.5,,,,,,,,,,,,,321,PSC,60,56,,,0.33,,,,,,,,,,
26,22,0.84,770,0.84,770,1.42E-06,Pigg 2003,Single Family,NO,YES,HT,159.0,0.64,2240,,,,Marathon,,,,,,,,770,,0.45,0.06,,,,1.07775E-06,1.5,,,,,,,,,,,,,333,PSC,60,56,,,0.33,,,,,,,,,,
26,22,0.86,813,0.86,813,1.30E-06,Pigg 2003,Single Family,NO,YES,HR,163.7,0.66,2240,,,,Marathon,,,,,,,,813,,0.48,0.06,,,,9.95508E-07,1.5,,,,,,,,,,,,,344,PSC,60,56,,,0.33,,,,,,,,,,
26,22,0.93,820,0.93,820,1.38E-06,Pigg 2003,Single Family,NO,YES,CF,180.9,0.73,2240,,,,Marathon,,,,,,,,820,,0.52,0.06,,,,1.0812E-06,1.5,,,,,,,,,,,,,381,PSC,60,56,,,0.33,,,,,,,,,,
26,22,0.96,834,0.96,834,1.38E-06,Pigg 2003,Single Family,NO,YES,CF,188.6,0.76,2240,,,,Marathon,,,,,,,,834,,0.55,0.06,,,,1.08978E-06,1.5,,,,,,,,,,,,,466,PSC,60,56,,,0.33,,,,,,,,,,
27,22,0.46,841,0.46,841,6.56E-07,Pigg 2003,Single Family,NO,NO,AC,11.7,0.05,3250,,,,Brown,,,,,,,,841,,0.11,0.07,,,,6.64517E-08,2.5,,,,,,,,,,,,,478,PSC,75,68,,,0.5,,,,,,,,,,
27,22,0.50,1042,0.50,1042,4.57E-07,Pigg 2003,Single Family,NO,NO,HT,19.7,0.08,3250,,,,Brown,,,,,,,,1042,,0.16,0.12,,,,7.27598E-08,2.5,,,,,,,,,,,,,540,PSC,75,68,,,0.5,,,,,,,,,,
27,22,0.50,1086,0.50,1086,4.27E-07,Pigg 2003,Single Family,NO,NO,CF,21.6,0.09,3250,,,,Brown,,,,,,,,1086,,0.16,0.12,,,,7.37666E-08,2.5,,,,,,,,,,,,,552,PSC,75,68,,,0.5,,,,,,,,,,
27,22,0.29,1085,0.29,1085,2.44E-07,Pigg 2003,Single Family,NO,YES,CF,21.2,0.09,3250,,,,Brown,,,,,,,,1085,,0.16,0.12,,,,7.22037E-08,2.5,,,,,,,,,,,,,555,PSC,75,68,,,0.5,,,,,,,,,,
27,22,0.29,1129,0.29,1129,2.28E-07,Pigg 2003,Single Family,NO,YES,CF,21.9,0.09,3250,,,,Brown,,,,,,,,1129,,0.17,0.12,,,,6.9039E-08,2.5,,,,,,,,,,,,,556,PSC,75,68,,,0.5,,,,,,,,,,
27,22,0.50,1126,0.50,1126,3.97E-07,Pigg 2003,Single Family,NO,NO,CF,21.6,0.09,3250,,,,Brown,,,,,,,,1126,,0.17,0.12,,,,6.86187E-08,2.5,,,,,,,,,,,,,565,PSC,75,68,,,0.5,,,,,,,,,,
27,22,0.51,1146,0.51,1146,3.87E-07,Pigg 2003,Single Family,NO,NO,AC,22.9,0.09,3250,,,,Brown,,,,,,,,1146,,0.18,0.12,,,,7.00517E-08,2.5,,,,,,,,,,,,,641,PSC,75,68,,,0.5,,,,,,,,,,
28,22,0.22,440,0.22,440,1.14E-06,Pigg 2003,Single Family,NO,YES,HT,4.7,0.02,4029,,,,Brown,40% output,,,,,,,440,,0.16,0.03,,,,9.81405E-08,,,,,,,,,,,,,,77,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.47,609,0.47,609,1.27E-06,Pigg 2003,Single Family,NO,NO,HT,13.7,0.06,4029,,,,Brown,60% output,,,,,,,609,,0.17,0.03,,,,1.48296E-07,,,,,,,,,,,,,,155,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.54,789,0.54,789,8.72E-07,Pigg 2003,Single Family,NO,NO,HT,31.4,0.13,4029,,,,Brown,80% output,,,,,,,789,,0.24,0.05,,,,2.02403E-07,,,,,,,,,,,,,,330,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.68,953,0.68,953,7.53E-07,Pigg 2003,Single Family,NO,NO,HT,66.4,0.27,4029,,,,Brown,100% output,,,,,,,953,,0.32,0.06,,,,2.93985E-07,,,,,,,,,,,,,,513,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.53,689,0.53,689,1.11E-06,Pigg 2003,Single Family,NO,NO,HT,27.6,0.11,4029,,,,Brown,40% output,,,,,,,689,,0.34,0.06,,,,2.33822E-07,,,,,,,,,,,,,,232,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.38,91,0.38,91,4.60E-05,Pigg 2003,Single Family,NO,YES,HT,44.5,0.18,4029,,,,Brown,60% output,,,,,,,91,,0.40,0.07,,,,2.16157E-05,,,,,,,,,,,,,,0.044,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.44,148,0.44,148,2.02E-05,Pigg 2003,Single Family,NO,YES,HT,60.0,0.24,4029,,,,Brown,80% output,,,,,,,148,,0.38,0.07,,,,1.10026E-05,,,,,,,,,,,,,,0.057,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.54,728,0.54,728,1.01E-06,Pigg 2003,Single Family,NO,NO,HT,29.9,0.12,4029,,,,Brown,100% output,,,,,,,728,,0.36,0.06,,,,2.26422E-07,,,,,,,,,,,,,,260,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.35,756,0.35,756,6.07E-07,Pigg 2003,Single Family,NO,YES,CF,36.1,0.15,4029,,,,Brown,,,,,,,,756,,0.03,,,,,2.53702E-07,,,,,,,,,,,,,,281,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.57,750,0.57,750,1.01E-06,Pigg 2003,Single Family,NO,NO,HR,38.3,0.15,4029,,,,Brown,,,,,,,,750,,0.05,,,,,2.73778E-07,,,,,,,,,,,,,,265,ECM,75,72,30,,0.5,,,,,,,,,,
28,22,0.23,524,0.23,524,8.35E-07,Pigg 2003,Single Family,NO,YES,CF,6.7,0.03,4029,,,,Brown,,,,,,,,524,,0.54,0.10,,,,9.83334E-08,,,,,,,,,,,,,,93,ECM,75,72,30,,0.5,,,,,,,,,,
29,22,0.90,725,0.90,725,1.71E-06,Pigg 2003,Single Family,NO,NO,CF,119.4,0.48,2146,,,,Dane,,,,,,,,725,,0.30,0.07,,,,9.13199E-07,2.5,,,,,,,,,,,,,391,PSC,60,56,,,0.33,,,,,,,,,,
29,22,0.56,835,0.56,835,7.97E-07,Pigg 2003,Single Family,YES,YES,HT,138.4,0.56,2146,,,,Dane,,,,,,,,835,,0.35,0.08,,,,7.97447E-07,2.5,,,,,,,,,,,,,413,PSC,60,56,,,0.33,,,,,,,,,,
29,22,0.76,862,0.76,862,1.02E-06,Pigg 2003,Single Family,NO,YES,CF,139.1,0.56,2146,,,,Dane,,,,,,,,862,,0.35,0.08,,,,7.52311E-07,2.5,,,,,,,,,,,,,417,PSC,60,56,,,0.33,,,,,,,,,,
29,22,0.83,841,0.83,841,1.17E-06,Pigg 2003,Single Family,NO,YES,CF,155.5,0.63,2146,,,,Dane,,,,,,,,841,,0.39,0.09,,,,8.83666E-07,2.5,,,,,,,,,,,,,444,PSC,60,56,,,0.33,,,,,,,,,,
29,22,0.87,906,0.87,906,1.06E-06,Pigg 2003,Single Family,NO,YES,CF,166.5,0.67,2146,,,,Dane,,,,,,,,906,,0.41,0.10,,,,8.15023E-07,2.5,,,,,,,,,,,,,500,PSC,60,56,,,0.33,,,,,,,,,,
30,22,0.39,838,0.39,838,5.53E-07,Pigg 2003,Single Family,NO,YES,CF,46.3,0.19,4750,,,,Dane,,,,,,,,838,,0.09,0.04,,,,2.64865E-07,3.5,,,,,,,,,,,,,115,ECM,120,112,77,72,,,,,,,,,,,
30,22,0.42,891,0.42,891,5.32E-07,Pigg 2003,Single Family,NO,YES,HT,54.7,0.22,4750,,,,Dane,,,,,,,,891,,0.10,0.05,,,,2.7712E-07,3.5,,,,,,,,,,,,,155,ECM,120,112,77,72,,,,,,,,,,,
30,22,0.48,1028,0.48,1028,4.52E-07,Pigg 2003,Single Family,NO,YES,HT,68.4,0.28,4750,,,,Dane,,,,,,,,1028,,0.12,0.06,,,,2.60223E-07,3.5,,,,,,,,,,,,,214,ECM,120,112,77,72,,,,,,,,,,,
30,22,0.67,1385,0.67,1385,3.47E-07,Pigg 2003,Single Family,NO,YES,HT,115.5,0.46,4750,,,,Dane,,,,,,,,1385,,0.20,0.10,,,,2.4189E-07,3.5,,,,,,,,,,,,,516,ECM,120,112,77,72,,,,,,,,,,,
30,22,0.75,1501,0.75,1501,3.31E-07,Pigg 2003,Single Family,NO,YES,HT(high),135.4,0.54,4750,,,,Dane,,,,,,,,1501,,0.23,0.12,,,,2.41456E-07,3.5,,,,,,,,,,,,,651,ECM,120,112,77,72,,,,,,,,,,,
30,22,0.80,1595,0.80,1595,3.13E-07,Pigg 2003,Single Family,NO,YES,HT(high),147.8,0.59,4750,,,,Dane,,,,,,,,1595,,0.24,0.13,,,,2.33488E-07,3.5,,,,,,,,,,,,,739,ECM,120,112,77,72,,,,,,,,,,,
30,22,1.06,1633,1.06,1633,3.98E-07,Pigg 2003,Single Family,NO,NO,HT(high),160.3,0.64,4750,,,,Dane,,,,,,,,1633,,0.26,0.14,,,,2.41498E-07,3.5,,,,,,,,,,,,,843,ECM,120,112,77,72,,,,,,,,,,,
31,22,0.13,598,0.13,598,3.55E-07,Pigg 2003,Single Family,YES,YES,HT,31.6,0.13,4130,,,,Fond du Lac,,,,,,,,598,,0.04,0.03,,,,3.55141E-07,2.5,,,,,,,,,,,,,70,ECM,80,75,52,49,0.5,,,,,,,,,,
31,22,0.48,866,0.48,866,6.43E-07,Pigg 2003,Single Family,NO,YES,CF,69.7,0.28,4130,,,,Fond du Lac,,,,,,,,866,,0.10,0.07,,,,3.73355E-07,2.5,,,,,,,,,,,,,211,ECM,80,75,52,49,0.5,,,,,,,,,,
31,22,0.49,898,0.49,898,6.07E-07,Pigg 2003,Single Family,NO,YES,CF,71.4,0.29,4130,,,,Fond du Lac,,,,,,,,898,,0.10,0.07,,,,3.55901E-07,2.5,,,,,,,,,,,,,220,ECM,80,75,52,49,0.5,,,,,,,,,,
31,22,0.50,868,0.50,868,6.59E-07,Pigg 2003,Single Family,NO,YES,AC,73.2,0.29,4130,,,,Fond du Lac,,,,,,,,868,,0.10,0.07,,,,3.90219E-07,2.5,,,,,,,,,,,,,228,ECM,80,75,52,49,0.5,,,,,,,,,,
31,22,0.50,885,0.50,885,6.39E-07,Pigg 2003,Single Family,NO,YES,CF,74.2,0.30,4130,,,,Fond du Lac,,,,,,,,885,,0.10,0.08,,,,3.80478E-07,2.5,,,,,,,,,,,,,230,ECM,80,75,52,49,0.5,,,,,,,,,,
31,22,0.71,1164,0.71,1164,5.26E-07,Pigg 2003,Single Family,NO,YES,HT(high),126.9,0.51,4130,,,,Fond du Lac,,,,,,,,1164,,0.17,0.13,,,,3.76413E-07,2.5,,,,,,,,,,,,,546,ECM,80,75,52,49,0.5,,,,,,,,,,
32,22,0.53,565,0.53,565,1.67E-06,Pigg 2003,Single Family,NO,NO,HT,28.6,0.12,4027,,,,Brown,60% output,,,,,,,565,,0.07,0.02,,,,3.60247E-07,4,,,,,,,,,,,,,59,ECM,90,86,36,,1,,,,,,,,,,
32,22,0.38,706,0.38,706,7.69E-07,Pigg 2003,Single Family,NO,YES,HT,45.0,0.18,4027,,,,Brown,80% output,,,,,,,706,,0.10,0.04,,,,3.63136E-07,4,,,,,,,,,,,,,119,ECM,90,86,36,,1,,,,,,,,,,
32,22,0.49,954,0.49,954,5.33E-07,Pigg 2003,Single Family,NO,YES,HT,70.4,0.28,4027,,,,Brown,100% output,,,,,,,954,,0.15,0.06,,,,3.10949E-07,4,,,,,,,,,,,,,243,ECM,90,86,36,,1,,,,,,,,,,
32,22,0.74,1013,0.74,1013,7.22E-07,Pigg 2003,Single Family,NO,NO,HT,80.6,0.32,4027,,,,Brown,,,,,,,,1013,,0.17,0.06,,,,3.15737E-07,4,,,,,,,,,,,,,289,ECM,90,86,36,,1,,,,,,,,,,
32,22,0.77,1412,0.77,1412,3.87E-07,Pigg 2003,Single Family,NO,YES,HR,141.8,0.57,4027,,,,Brown,,,,,,,,1412,,0.28,0.11,,,,2.85894E-07,4,,,,,,,,,,,,,663,ECM,90,86,36,,1,,,,,,,,,,
32,22,0.76,1381,0.76,1381,3.99E-07,Pigg 2003,Single Family,NO,YES,CF,138.9,0.56,4027,,,,Brown,,,,,,,,1381,,0.27,0.13,,,,2.92581E-07,4,,,,,,,,,,,,,669,ECM,90,86,36,,1,,,,,,,,,,
32,22,0.89,1568,0.89,1568,3.61E-07,Pigg 2003,Single Family,NO,YES,AC,170.5,0.69,4027,,,,Brown,,,,,,,,1568,,0.34,0.13,,,,2.78611E-07,4,,,,,,,,,,,,,940,ECM,90,86,36,,1,,,,,,,,,,
